industry,data_volume,latency_requirement,connectivity_type,security_requirement,data_analytics_requirement,deployment_environment,technology
Transportation,High,Low,Wireless,Medium,No,Cloud,Blockchain
Healthcare,Medium,Low,Wireless,High,No,Edge,Blockchain
Energy,Low,High,Wireless,Medium,No,Cloud,PLCs
Manufacturing,Medium,High,Wireless,High,Yes,Edge,Edge Computing
Healthcare,Low,High,Wireless,High,Yes,Edge,Blockchain
Agriculture,High,Low,Wireless,Low,Yes,On-Premise,Edge Computing
Energy,Medium,Medium,Wired,Low,Yes,Cloud,SCADA
Transportation,Medium,High,Wired,High,No,Cloud,Blockchain
Healthcare,High,Medium,Wired,High,Yes,On-Premise,Blockchain
Healthcare,Medium,Medium,Wireless,High,Yes,Cloud,Blockchain
Transportation,High,High,Wired,High,No,On-Premise,Cloud Computing
Manufacturing,Low,High,Wireless,High,Yes,On-Premise,AI/ML
Agriculture,Low,Low,Wireless,High,No,On-Premise,AI/ML
Manufacturing,Medium,Medium,Wired,High,No,Edge,Edge Computing
Transportation,High,Medium,Wireless,Medium,Yes,Cloud,AI/ML
Energy,Medium,Low,Wireless,Low,Yes,On-Premise,Edge Computing
Healthcare,Low,Low,Wired,Low,Yes,Edge,SCADA
Transportation,Medium,Low,Wireless,High,No,On-Premise,AI/ML
Energy,High,High,Wired,Low,Yes,On-Premise,AI/ML
Manufacturing,Low,High,Wireless,Medium,Yes,On-Premise,MQTT
Energy,High,Medium,Wired,Low,No,Edge,Blockchain
Agriculture,Low,Medium,Wired,Low,No,Edge,AI/ML
Energy,Medium,High,Wired,Low,Yes,On-Premise,OPC UA
Healthcare,Medium,Low,Wired,Low,Yes,Cloud,SCADA
Healthcare,High,Low,Wired,Low,Yes,Cloud,AI/ML
Retail,Low,High,Wired,Low,Yes,Edge,PLCs
Agriculture,Low,Low,Wireless,Low,No,On-Premise,OPC UA
Transportation,High,High,Wireless,High,Yes,Edge,SCADA
Agriculture,High,High,Wireless,High,No,Edge,Cloud Computing
Transportation,Medium,High,Wired,Low,No,On-Premise,SCADA
Transportation,Medium,Low,Wireless,Low,Yes,Cloud,PLCs
Healthcare,Low,Low,Wired,High,No,Cloud,Blockchain
Manufacturing,Low,Medium,Wired,Medium,Yes,On-Premise,SCADA
Healthcare,Low,Low,Wireless,Low,No,On-Premise,Edge Computing
Manufacturing,High,Medium,Wired,High,No,Cloud,Cloud Computing
Agriculture,Medium,Medium,Wired,High,Yes,Edge,Edge Computing
Energy,Low,High,Wireless,High,No,On-Premise,Blockchain
Retail,Low,Medium,Wired,Medium,No,On-Premise,Blockchain
Healthcare,Low,Medium,Wired,High,Yes,On-Premise,Blockchain
Transportation,High,Low,Wireless,Low,No,Cloud,Blockchain
Energy,Medium,High,Wireless,High,Yes,Cloud,Blockchain
Manufacturing,Medium,High,Wireless,Low,No,On-Premise,MQTT
Healthcare,High,High,Wired,High,Yes,On-Premise,Blockchain
Retail,Low,Medium,Wireless,Low,Yes,On-Premise,OPC UA
Manufacturing,Medium,Low,Wired,Medium,Yes,On-Premise,SCADA
Healthcare,Low,Medium,Wireless,Low,No,On-Premise,OPC UA
Manufacturing,Low,Low,Wireless,Low,No,Cloud,Cloud Computing
Retail,Medium,Low,Wired,High,Yes,On-Premise,SCADA
Agriculture,Medium,High,Wired,High,Yes,Cloud,Blockchain
Transportation,Medium,Low,Wireless,High,No,Edge,Edge Computing
Transportation,Low,Medium,Wireless,Medium,No,On-Premise,PLCs
Agriculture,Medium,Low,Wired,High,Yes,On-Premise,SCADA
Transportation,High,Low,Wireless,Medium,Yes,On-Premise,AI/ML
Agriculture,Low,Medium,Wired,Medium,Yes,Edge,MQTT
Healthcare,Medium,High,Wired,Medium,No,On-Premise,Edge Computing
Agriculture,High,Medium,Wireless,Low,Yes,On-Premise,Edge Computing
Healthcare,Low,Low,Wireless,Medium,Yes,Cloud,AI/ML
Energy,Medium,Medium,Wired,High,No,Edge,Edge Computing
Agriculture,Medium,High,Wireless,High,No,On-Premise,SCADA
Agriculture,High,Medium,Wireless,Medium,No,Edge,AI/ML
Energy,Low,Low,Wireless,Medium,Yes,Edge,SCADA
Retail,Low,High,Wired,Low,No,Cloud,Cloud Computing
Healthcare,Low,Medium,Wireless,High,No,Cloud,Blockchain
Energy,Medium,Medium,Wireless,Medium,Yes,Edge,Edge Computing
Retail,Medium,Medium,Wireless,High,Yes,Edge,Edge Computing
Manufacturing,Medium,Medium,Wired,Low,No,Edge,Edge Computing
Manufacturing,High,High,Wired,High,No,Cloud,SCADA
Manufacturing,Medium,High,Wireless,Medium,No,Edge,Edge Computing
Manufacturing,Low,Low,Wired,High,No,Cloud,SCADA
Healthcare,High,Low,Wired,Low,No,Cloud,SCADA
Manufacturing,High,Low,Wired,Medium,Yes,On-Premise,OPC UA
Energy,Medium,Low,Wireless,High,Yes,On-Premise,Cloud Computing
Manufacturing,Medium,Medium,Wireless,Medium,Yes,Cloud,OPC UA
Retail,Low,High,Wireless,Medium,Yes,On-Premise,Blockchain
Transportation,Medium,Medium,Wired,High,Yes,On-Premise,AI/ML
Energy,High,High,Wired,High,No,Edge,PLCs
Retail,High,Low,Wireless,Medium,Yes,Cloud,AI/ML
Transportation,Medium,Low,Wired,Medium,Yes,Cloud,SCADA
Healthcare,Low,Low,Wired,High,No,On-Premise,Blockchain
Transportation,Medium,Medium,Wireless,High,No,On-Premise,Edge Computing
Retail,Medium,Medium,Wireless,Medium,No,On-Premise,OPC UA
Transportation,Low,Medium,Wireless,High,Yes,On-Premise,Blockchain
Manufacturing,Medium,Low,Wireless,High,Yes,Edge,Edge Computing
Healthcare,Medium,Low,Wireless,Medium,No,Edge,Edge Computing
Retail,High,High,Wireless,Medium,Yes,On-Premise,Blockchain
Manufacturing,Medium,Low,Wireless,High,Yes,Edge,Edge Computing
Retail,Medium,Medium,Wired,High,Yes,On-Premise,SCADA
Agriculture,Medium,Low,Wired,High,No,Cloud,SCADA
Retail,High,Medium,Wireless,Low,Yes,On-Premise,Edge Computing
Healthcare,Low,High,Wireless,Low,Yes,Edge,PLCs
Healthcare,High,High,Wired,Low,No,Cloud,PLCs
Retail,Low,High,Wireless,Low,No,Cloud,PLCs
Healthcare,Low,Low,Wired,Medium,Yes,On-Premise,SCADA
Agriculture,Medium,Low,Wired,Low,No,Edge,SCADA
Manufacturing,Medium,High,Wired,Medium,Yes,On-Premise,PLCs
Retail,Low,Medium,Wired,High,No,Cloud,Edge Computing
Manufacturing,Medium,Low,Wireless,High,Yes,On-Premise,Blockchain
Healthcare,Medium,High,Wired,Medium,No,Cloud,Edge Computing
Energy,High,Medium,Wireless,Medium,No,Edge,Edge Computing
Retail,Medium,Low,Wireless,Medium,Yes,On-Premise,SCADA
Energy,High,Medium,Wireless,Medium,No,On-Premise,SCADA
Transportation,Medium,Low,Wired,Low,No,Edge,SCADA
Energy,High,Medium,Wireless,Medium,Yes,Edge,OPC UA
Manufacturing,High,Low,Wired,Low,Yes,Cloud,OPC UA
Energy,Medium,Medium,Wired,High,Yes,On-Premise,Edge Computing
Retail,Medium,Medium,Wireless,Medium,No,Edge,Edge Computing
Transportation,High,High,Wired,Medium,Yes,Edge,SCADA
Agriculture,Medium,High,Wired,Low,No,On-Premise,AI/ML
Healthcare,High,Medium,Wired,Medium,No,Cloud,Edge Computing
Agriculture,High,Medium,Wired,High,Yes,Edge,Edge Computing
Transportation,Low,Low,Wireless,Medium,No,Cloud,MQTT
Manufacturing,Low,Medium,Wireless,Low,No,Cloud,AI/ML
Transportation,Medium,Medium,Wireless,Low,No,On-Premise,Blockchain
Retail,Medium,High,Wired,Medium,Yes,Edge,Edge Computing
Healthcare,High,High,Wireless,High,No,On-Premise,Blockchain
Energy,High,High,Wireless,Medium,Yes,Cloud,AI/ML
Energy,Medium,Low,Wired,Low,Yes,Edge,SCADA
Healthcare,Medium,Low,Wireless,Low,Yes,Edge,Edge Computing
Retail,High,High,Wired,Low,Yes,On-Premise,Blockchain
Agriculture,Low,Low,Wired,High,Yes,Cloud,SCADA
Agriculture,Low,Low,Wired,Medium,Yes,On-Premise,SCADA
Healthcare,Medium,High,Wireless,Low,No,Edge,Edge Computing
Manufacturing,High,Low,Wireless,High,No,Edge,OPC UA
Energy,Low,Medium,Wireless,High,Yes,On-Premise,Cloud Computing
Manufacturing,High,Medium,Wired,High,No,Edge,OPC UA
Retail,Low,Low,Wired,High,Yes,Edge,SCADA
Agriculture,High,High,Wireless,Medium,Yes,Cloud,AI/ML
Retail,High,Medium,Wireless,Low,No,On-Premise,OPC UA
Agriculture,High,Medium,Wired,High,Yes,Cloud,AI/ML
Transportation,High,Low,Wired,Medium,Yes,Cloud,AI/ML
Manufacturing,Medium,Low,Wired,Medium,No,Edge,SCADA
Energy,High,Low,Wired,High,No,On-Premise,SCADA
Manufacturing,Medium,Medium,Wireless,High,No,Cloud,Cloud Computing
Retail,Low,Medium,Wireless,High,No,On-Premise,Blockchain
Energy,Medium,Low,Wireless,Medium,No,Edge,Edge Computing
Manufacturing,Medium,Low,Wired,Medium,Yes,Edge,SCADA
Manufacturing,Medium,Medium,Wireless,High,Yes,Cloud,OPC UA
Retail,Low,High,Wired,High,Yes,On-Premise,Cloud Computing
Transportation,Low,High,Wired,Medium,Yes,Edge,AI/ML
Agriculture,Low,Low,Wireless,Medium,Yes,On-Premise,Cloud Computing
Energy,Low,Low,Wired,High,No,Cloud,SCADA
Energy,Low,Low,Wired,High,No,Cloud,SCADA
Manufacturing,Medium,Low,Wireless,Low,No,Cloud,MQTT
Transportation,Medium,Low,Wired,High,No,On-Premise,SCADA
Transportation,Low,High,Wired,Low,Yes,Edge,Blockchain
Agriculture,High,High,Wireless,Low,No,Edge,OPC UA
Retail,High,Low,Wired,Low,Yes,Edge,SCADA
Retail,High,Medium,Wireless,Medium,Yes,Cloud,AI/ML
Healthcare,Medium,High,Wired,Medium,No,On-Premise,OPC UA
Retail,High,Low,Wireless,Medium,No,On-Premise,OPC UA
Agriculture,High,Medium,Wireless,Low,No,Cloud,Cloud Computing
Retail,High,Medium,Wireless,Medium,Yes,On-Premise,Edge Computing
Manufacturing,High,Low,Wireless,High,No,On-Premise,OPC UA
