industry,real_time_requirement,data_volume,latency,security_concern,wireless_wired,energy_constraint,protocol
Agriculture,Low,High,High,Low,Wireless,High,LoRaWAN
Energy,Medium,Low,Medium,Medium,Wired,Medium,PROFINET
Manufacturing,Medium,Low,High,High,Wireless,Medium,HTTPS
Retail,High,Low,Medium,Low,Wireless,Medium,OPC UA
Manufacturing,Medium,Low,Medium,High,Wired,Medium,HTTPS
Healthcare,Medium,High,High,Low,Wireless,Medium,OPC UA
Agriculture,Low,Medium,High,Medium,Wired,Low,PROFINET
Healthcare,Low,Low,High,High,Wired,Medium,PROFINET
Energy,Medium,Low,High,High,Wired,Medium,HTTPS
Transportation,Medium,Medium,Low,Medium,Wireless,Medium,EtherCAT
Transportation,High,Low,Medium,High,Wired,High,PROFINET
Energy,Low,Low,Medium,High,Wireless,Low,OPC UA
Healthcare,Medium,Medium,Low,Medium,Wired,Medium,PROFINET
Healthcare,High,High,Medium,Low,Wireless,High,EtherCAT
Manufacturing,Low,Low,High,Low,Wireless,Low,LoRaWAN
Agriculture,Low,Medium,Low,Low,Wireless,Low,HTTPS
Energy,Low,High,High,High,Wired,Low,PROFINET
Transportation,High,Low,Medium,High,Wireless,High,EtherCAT
Manufacturing,Low,Low,Low,High,Wired,High,LoRaWAN
Agriculture,Medium,Medium,High,Medium,Wireless,High,PROFINET
Transportation,Medium,Medium,Medium,High,Wireless,Medium,HTTPS
Transportation,High,Medium,High,High,Wireless,High,EtherCAT
Transportation,Medium,Low,Medium,High,Wireless,Medium,HTTPS
Agriculture,Medium,High,Low,High,Wired,Medium,PROFINET
Energy,High,Medium,Medium,Low,Wired,High,OPC UA
Transportation,Low,High,Medium,Low,Wired,Medium,PROFINET
Transportation,High,Medium,Low,High,Wireless,High,OPC UA
Healthcare,Low,Low,Low,Low,Wireless,High,LoRaWAN
Agriculture,Low,Medium,Medium,Low,Wireless,Low,HTTPS
Energy,High,Medium,High,Medium,Wireless,Low,MQTT
Transportation,High,Medium,Medium,High,Wireless,High,HTTPS
Energy,Medium,Medium,Medium,Medium,Wireless,High,PROFINET
Healthcare,Medium,High,High,High,Wireless,Medium,HTTPS
Retail,Medium,Medium,Medium,Low,Wired,Low,MQTT
Manufacturing,High,High,Medium,Low,Wired,High,PROFINET
Retail,Medium,Medium,High,High,Wired,High,HTTPS
Retail,Medium,Medium,Medium,Medium,Wired,Medium,MQTT
Healthcare,Low,High,Medium,Medium,Wireless,Low,EtherCAT
Transportation,Low,Low,Low,Medium,Wired,Low,OPC UA
Retail,High,Medium,Low,High,Wired,Low,OPC UA
Retail,Medium,Medium,High,Medium,Wireless,Low,MQTT
Healthcare,High,Low,High,High,Wireless,High,LoRaWAN
Manufacturing,Low,Low,Medium,Medium,Wired,Medium,MQTT
Manufacturing,Medium,Low,Medium,Low,Wireless,Low,MQTT
Retail,Low,Medium,Low,Low,Wired,Medium,LoRaWAN
Transportation,Low,Medium,Low,High,Wireless,Medium,HTTPS
Energy,Medium,Medium,Medium,High,Wireless,Medium,HTTPS
Transportation,High,Low,Low,High,Wireless,Low,OPC UA
Retail,Low,High,Low,Low,Wired,Low,PROFINET
Transportation,Medium,Medium,Medium,Low,Wired,High,OPC UA
Energy,Low,Low,Low,Low,Wired,Low,OPC UA
Transportation,Low,High,High,Low,Wired,Medium,PROFINET
Energy,Medium,Medium,Low,Low,Wireless,Low,MQTT
Retail,High,Low,Low,Medium,Wireless,Low,EtherCAT
Energy,Low,Low,High,Medium,Wireless,Low,LoRaWAN
Transportation,High,High,Medium,High,Wired,Medium,PROFINET
Energy,Low,High,High,High,Wired,Medium,PROFINET
Manufacturing,High,Low,Low,Low,Wireless,High,EtherCAT
Manufacturing,Medium,High,Medium,Low,Wireless,Low,MQTT
Manufacturing,Medium,High,High,Medium,Wired,High,PROFINET
Retail,Low,Low,High,High,Wireless,Low,OPC UA
Transportation,Low,High,Medium,High,Wired,High,PROFINET
Healthcare,High,Medium,High,Low,Wired,Medium,PROFINET
Healthcare,Medium,Medium,High,High,Wired,Low,MQTT
Retail,Low,Low,Medium,Medium,Wireless,Medium,MQTT
Energy,Low,High,Low,Low,Wireless,Medium,OPC UA
Healthcare,Low,High,Medium,Medium,Wireless,High,LoRaWAN
Energy,Medium,Low,Medium,Medium,Wired,Medium,OPC UA
Energy,High,High,High,Medium,Wireless,High,HTTPS
Agriculture,High,High,Medium,High,Wired,High,PROFINET
Manufacturing,Medium,Low,High,High,Wired,Low,MQTT
Energy,High,Medium,Low,Low,Wired,High,EtherCAT
Manufacturing,Low,Low,High,Low,Wireless,Medium,HTTPS
Healthcare,Medium,Medium,Medium,High,Wireless,High,HTTPS
Transportation,Medium,High,Medium,Medium,Wired,Medium,PROFINET
Healthcare,High,Low,Medium,Medium,Wired,Medium,LoRaWAN
Retail,Low,High,Low,Low,Wireless,Low,LoRaWAN
Energy,Medium,High,Low,Low,Wireless,Medium,PROFINET
Agriculture,High,Low,Medium,Medium,Wireless,Medium,OPC UA
Transportation,Medium,Low,Medium,Low,Wireless,High,LoRaWAN
Healthcare,Medium,High,Medium,Low,Wireless,Medium,OPC UA
Agriculture,Low,High,Medium,High,Wireless,Low,MQTT
Manufacturing,High,High,Medium,Medium,Wireless,Low,PROFINET
Energy,Medium,High,High,High,Wired,Low,PROFINET
Healthcare,Low,Medium,Low,High,Wireless,Low,MQTT
Energy,Low,High,Low,Low,Wireless,High,LoRaWAN
Agriculture,Medium,Medium,Low,High,Wireless,Medium,HTTPS
Retail,Medium,Low,Medium,High,Wireless,Low,MQTT
Manufacturing,High,Low,Medium,High,Wireless,Low,LoRaWAN
Energy,Low,Low,Low,Medium,Wired,High,MQTT
Healthcare,High,Medium,High,Low,Wireless,Low,MQTT
Healthcare,Low,High,Medium,Medium,Wired,Low,PROFINET
Agriculture,Medium,High,Medium,Medium,Wireless,Medium,OPC UA
Retail,Low,High,High,Medium,Wireless,Low,LoRaWAN
Retail,High,Low,Low,High,Wired,Medium,OPC UA
Agriculture,Medium,Low,High,Low,Wireless,Low,MQTT
Healthcare,High,Medium,Low,Low,Wireless,Low,EtherCAT
Healthcare,Medium,Medium,Low,Low,Wireless,Low,MQTT
Retail,Medium,Low,Low,Medium,Wired,Low,MQTT
Energy,Low,Low,High,Low,Wired,Low,OPC UA
Manufacturing,High,High,Low,Medium,Wireless,Low,EtherCAT
Manufacturing,High,High,High,High,Wireless,High,PROFINET
